Project ID,Month,Vendor,Material Cost ($),Labor Cost ($),Last Updated
PRJ1000,2024-01-01,Vendor D,17079.44,27158.95,2024-07-01
PRJ1000,2024-02-01,Vendor A,6810.58,23501.63,2024-07-01
PRJ1000,2024-03-01,Vendor A,24616.91,21426.74,2024-07-01
PRJ1000,2024-04-01,Vendor D,6577.43,27492.44,2024-07-01
PRJ1000,2024-05-01,Vendor A,11274.32,23691.65,2024-07-01
PRJ1000,2024-06-01,Vendor B,15853.86,12767.08,2024-07-01
PRJ1000,2024-07-01,Vendor C,16073.97,23676.17,2024-07-01
PRJ1000,2024-08-01,Vendor C,11547.35,23489.11,2024-07-01
PRJ1000,2024-09-01,Vendor D,6567.5,19318.67,2024-07-01
PRJ1000,2024-10-01,Vendor C,23312.1,23873.8,2024-07-01
PRJ1000,2024-11-01,Vendor A,10244.96,28529.75,2024-07-01
PRJ1000,2024-12-01,Vendor C,10152.26,27417.11,2024-07-01
PRJ1001,2024-01-01,Vendor B,11490.13,8183.67,2024-07-01
PRJ1001,2024-02-01,Vendor A,9003.27,23064.61,2024-07-01
PRJ1001,2024-03-01,Vendor B,24724.19,28344.61,2024-07-01
PRJ1001,2024-04-01,Vendor B,15456.71,22915.97,2024-07-01
PRJ1001,2024-05-01,Vendor D,6093.09,12600.56,2024-07-01
PRJ1001,2024-06-01,Vendor D,7512.91,24882.32,2024-07-01
PRJ1001,2024-07-01,Vendor D,7837.5,20012.01,2024-07-01
PRJ1001,2024-08-01,Vendor A,16831.28,24235.82,2024-07-01
PRJ1001,2024-09-01,Vendor B,6705.64,15298.88,2024-07-01
PRJ1001,2024-10-01,Vendor D,8095.72,14817.11,2024-07-01
PRJ1001,2024-11-01,Vendor D,13231.86,18276.51,2024-07-01
PRJ1001,2024-12-01,Vendor A,18170.07,22446.25,2024-07-01
PRJ1002,2024-01-01,Vendor A,8834.25,27820.05,2024-07-01
PRJ1002,2024-02-01,Vendor A,21018.83,19533.73,2024-07-01
PRJ1002,2024-03-01,Vendor D,22657.25,13171.83,2024-07-01
PRJ1002,2024-04-01,Vendor C,24621.88,26292.36,2024-07-01
PRJ1002,2024-05-01,Vendor A,7373.0,10833.14,2024-07-01
PRJ1002,2024-06-01,Vendor C,24475.04,18219.63,2024-07-01
PRJ1002,2024-07-01,Vendor A,20778.18,16833.99,2024-07-01
PRJ1002,2024-08-01,Vendor C,22908.22,23282.76,2024-07-01
PRJ1002,2024-09-01,Vendor B,12260.2,20712.95,2024-07-01
PRJ1002,2024-10-01,Vendor C,9818.84,20372.69,2024-07-01
PRJ1002,2024-11-01,Vendor B,10041.19,11452.67,2024-07-01
PRJ1002,2024-12-01,Vendor C,19291.63,20587.01,2024-07-01
PRJ1003,2024-01-01,Vendor D,11239.26,23896.24,2024-07-01
PRJ1003,2024-02-01,Vendor D,22696.42,20966.98,2024-07-01
PRJ1003,2024-03-01,Vendor D,24815.94,9481.68,2024-07-01
PRJ1003,2024-04-01,Vendor C,11863.24,24844.09,2024-07-01
PRJ1003,2024-05-01,Vendor A,22789.6,19508.25,2024-07-01
PRJ1003,2024-06-01,Vendor C,21234.14,28720.13,2024-07-01
PRJ1003,2024-07-01,Vendor D,24574.42,22081.77,2024-07-01
PRJ1003,2024-08-01,Vendor B,16593.31,22240.67,2024-07-01
PRJ1003,2024-09-01,Vendor A,23837.33,11658.08,2024-07-01
PRJ1003,2024-10-01,Vendor B,20563.07,10849.24,2024-07-01
PRJ1003,2024-11-01,Vendor B,17732.4,17520.16,2024-07-01
PRJ1003,2024-12-01,Vendor A,22852.26,29997.88,2024-07-01
PRJ1004,2024-01-01,Vendor A,21266.63,21055.87,2024-07-01
PRJ1004,2024-02-01,Vendor D,13413.19,24843.26,2024-07-01
