Project ID,Estimate to Complete ($),Estimate at Completion ($),Risk Flag,Historical Risk Outcome,Last Updated
PRJ1000,120178.99,562632.77,High,Delayed & Over Budget,2024-07-01
PRJ1001,233129.02,613359.71,High,Delayed,2024-07-01
PRJ1002,103405.19,536596.51,Low,Delayed,2024-07-01
PRJ1003,163741.21,646297.77,Low,On Track,2024-07-01
PRJ1004,279562.66,718085.3999999999,Low,Over Budget,2024-07-01
PRJ1005,132348.92,597750.0900000001,Medium,Delayed & Over Budget,2024-07-01
PRJ1006,94221.01,496775.44,Low,On Track,2024-07-01
PRJ1007,201909.74,598989.13,High,Delayed & Over Budget,2024-07-01
PRJ1008,174254.45,578441.47,Medium,Over Budget,2024-07-01
PRJ1009,276274.46,700729.0800000001,High,Over Budget,2024-07-01
PRJ1010,74710.02,473068.69,Medium,Delayed,2024-07-01
PRJ1011,118149.82,558069.9099999999,Low,Delayed & Over Budget,2024-07-01
PRJ1012,247281.47,647738.38,Medium,Delayed & Over Budget,2024-07-01
PRJ1013,290717.19,639696.6299999999,High,Over Budget,2024-07-01
PRJ1014,85420.05,522120.00000000006,High,On Track,2024-07-01
PRJ1015,290989.4,641691.3500000001,Medium,Over Budget,2024-07-01
PRJ1016,178906.41,604824.52,High,Over Budget,2024-07-01
PRJ1017,180447.96,613040.4199999999,High,On Track,2024-07-01
PRJ1018,122177.93,521879.13,High,On Track,2024-07-01
PRJ1019,111732.69,554352.24,Low,Delayed & Over Budget,2024-07-01
