Project ID,Snapshot Month,Estimate to Complete ($),Risk Flag,Historical Risk Flag
PRJ1000,2024-01-01,254553.93,Medium,Low
PRJ1000,2024-02-01,235699.82,Medium,Low
PRJ1000,2024-03-01,257437.88,Medium,Low
PRJ1000,2024-04-01,258793.69,Medium,Low
PRJ1000,2024-05-01,215939.01,Medium,Low
PRJ1000,2024-06-01,169138.99,Medium,Low
PRJ1000,2024-07-01,240533.6,Medium,Low
PRJ1000,2024-08-01,220923.96,Low,Low
PRJ1000,2024-09-01,298736.21,Medium,Low
PRJ1000,2024-10-01,67856.81,Medium,Low
PRJ1000,2024-11-01,246112.43,Medium,Low
PRJ1000,2024-12-01,161145.25,Medium,Low
PRJ1001,2024-01-01,152325.74,High,High
PRJ1001,2024-02-01,208600.82,Low,High
PRJ1001,2024-03-01,179356.73,Low,High
PRJ1001,2024-04-01,205065.4,Medium,High
PRJ1001,2024-05-01,200923.97,Medium,High
PRJ1001,2024-06-01,299970.9,High,High
PRJ1001,2024-07-01,82361.51,Medium,High
PRJ1001,2024-08-01,258671.78,High,High
PRJ1001,2024-09-01,168738.81,Medium,High
PRJ1001,2024-10-01,110219.92,Medium,High
PRJ1001,2024-11-01,200691.31,High,High
PRJ1001,2024-12-01,78717.99,Medium,High
PRJ1002,2024-01-01,124483.67,Medium,Low
PRJ1002,2024-02-01,75787.17,Medium,Low
PRJ1002,2024-03-01,242599.73,Low,Low
PRJ1002,2024-04-01,265627.47,Low,Low
PRJ1002,2024-05-01,299787.72,Medium,Low
PRJ1002,2024-06-01,61835.23,Medium,Low
PRJ1002,2024-07-01,242433.55,Medium,Low
PRJ1002,2024-08-01,193085.86,Low,Low
PRJ1002,2024-09-01,209342.31,Medium,Low
PRJ1002,2024-10-01,199565.59,High,Low
PRJ1002,2024-11-01,141482.67,Medium,Low
PRJ1002,2024-12-01,198315.85,Low,Low
PRJ1003,2024-01-01,281282.14,Low,Low
PRJ1003,2024-02-01,107769.9,Low,Low
PRJ1003,2024-03-01,183029.31,High,Low
PRJ1003,2024-04-01,179117.66,Medium,Low
PRJ1003,2024-05-01,76505.16,High,Low
PRJ1003,2024-06-01,145108.99,Low,Low
PRJ1003,2024-07-01,277641.41,Low,Low
PRJ1003,2024-08-01,278873.25,High,Low
PRJ1003,2024-09-01,284663.27,Low,Low
PRJ1003,2024-10-01,216823.52,Low,Low
PRJ1003,2024-11-01,252823.08,High,Low
PRJ1003,2024-12-01,276746.94,High,Low
PRJ1004,2024-01-01,70767.7,Medium,High
PRJ1004,2024-02-01,198900.9,Low,High
PRJ1004,2024-03-01,276835.39,High,High
PRJ1004,2024-04-01,268445.23,Low,High
PRJ1004,2024-05-01,78053.82,Medium,High
PRJ1004,2024-06-01,82933.22,Medium,High
PRJ1004,2024-07-01,199947.97,Low,High
PRJ1004,2024-08-01,272175.59,High,High
PRJ1004,2024-09-01,192055.62,Medium,High
PRJ1004,2024-10-01,229455.02,Medium,High
PRJ1004,2024-11-01,214877.5,Medium,High
PRJ1004,2024-12-01,66828.29,Low,High
PRJ1005,2024-01-01,164322.26,Low,High
PRJ1005,2024-02-01,294595.29,Medium,High
PRJ1005,2024-03-01,66513.98,High,High
PRJ1005,2024-04-01,156513.59,Medium,High
PRJ1005,2024-05-01,219426.55,High,High
PRJ1005,2024-06-01,272574.19,Medium,High
PRJ1005,2024-07-01,202127.89,Medium,High
PRJ1005,2024-08-01,246262.59,Medium,High
PRJ1005,2024-09-01,134647.13,Low,High
PRJ1005,2024-10-01,48612.72,Low,High
PRJ1005,2024-11-01,183251.81,Medium,High
PRJ1005,2024-12-01,248132.34,Medium,High
PRJ1006,2024-01-01,188238.36,High,Medium
PRJ1006,2024-02-01,89754.76,Low,Medium
PRJ1006,2024-03-01,189953.51,High,Medium
PRJ1006,2024-04-01,54100.9,Medium,Medium
PRJ1006,2024-05-01,153824.74,High,Medium
PRJ1006,2024-06-01,175293.11,High,Medium
PRJ1006,2024-07-01,244876.31,High,Medium
PRJ1006,2024-08-01,159437.45,Low,Medium
PRJ1006,2024-09-01,216995.81,Medium,Medium
PRJ1006,2024-10-01,246381.33,Low,Medium
PRJ1006,2024-11-01,176544.31,Low,Medium
PRJ1006,2024-12-01,190829.86,Low,Medium
PRJ1007,2024-01-01,243422.44,High,High
PRJ1007,2024-02-01,212578.17,Medium,High
PRJ1007,2024-03-01,208158.0,High,High
PRJ1007,2024-04-01,60344.24,Medium,High
PRJ1007,2024-05-01,126035.82,Medium,High
PRJ1007,2024-06-01,171379.66,High,High
PRJ1007,2024-07-01,253761.2,Low,High
PRJ1007,2024-08-01,281817.64,Low,High
PRJ1007,2024-09-01,236851.73,Low,High
PRJ1007,2024-10-01,58540.66,Low,High
PRJ1007,2024-11-01,55709.38,Medium,High
PRJ1007,2024-12-01,167043.31,Low,High
PRJ1008,2024-01-01,87720.98,Low,Medium
PRJ1008,2024-02-01,199156.24,High,Medium
PRJ1008,2024-03-01,202205.99,Medium,Medium
PRJ1008,2024-04-01,174558.05,High,Medium
PRJ1008,2024-05-01,59400.79,Low,Medium
PRJ1008,2024-06-01,212984.38,High,Medium
PRJ1008,2024-07-01,52237.94,Medium,Medium
PRJ1008,2024-08-01,237882.38,High,Medium
PRJ1008,2024-09-01,212115.01,High,Medium
PRJ1008,2024-10-01,183468.07,High,Medium
PRJ1008,2024-11-01,250502.01,High,Medium
PRJ1008,2024-12-01,85419.0,High,Medium
PRJ1009,2024-01-01,228063.86,Medium,High
PRJ1009,2024-02-01,208738.57,Medium,High
PRJ1009,2024-03-01,43251.82,Low,High
PRJ1009,2024-04-01,291131.83,Low,High
PRJ1009,2024-05-01,63585.39,Low,High
PRJ1009,2024-06-01,65365.61,Low,High
PRJ1009,2024-07-01,177259.44,High,High
PRJ1009,2024-08-01,48154.82,Medium,High
PRJ1009,2024-09-01,215427.94,Low,High
PRJ1009,2024-10-01,257319.44,High,High
PRJ1009,2024-11-01,109765.93,High,High
PRJ1009,2024-12-01,205651.86,Low,High
PRJ1010,2024-01-01,238172.85,Medium,Low
PRJ1010,2024-02-01,225842.99,High,Low
PRJ1010,2024-03-01,187594.12,Medium,Low
PRJ1010,2024-04-01,218695.75,Low,Low
PRJ1010,2024-05-01,188480.33,High,Low
PRJ1010,2024-06-01,56212.93,Medium,Low
PRJ1010,2024-07-01,117097.1,Low,Low
PRJ1010,2024-08-01,124249.94,High,Low
PRJ1010,2024-09-01,119142.67,Low,Low
PRJ1010,2024-10-01,135689.27,High,Low
PRJ1010,2024-11-01,293892.66,Low,Low
PRJ1010,2024-12-01,252948.96,Low,Low
PRJ1011,2024-01-01,152024.97,High,Medium
PRJ1011,2024-02-01,185689.33,Medium,Medium
PRJ1011,2024-03-01,218017.16,Low,Medium
PRJ1011,2024-04-01,155108.14,High,Medium
PRJ1011,2024-05-01,183769.61,Low,Medium
PRJ1011,2024-06-01,245396.24,Medium,Medium
PRJ1011,2024-07-01,252631.76,Low,Medium
PRJ1011,2024-08-01,87867.56,Low,Medium
PRJ1011,2024-09-01,99166.42,Low,Medium
PRJ1011,2024-10-01,193326.58,Medium,Medium
PRJ1011,2024-11-01,285535.85,Low,Medium
PRJ1011,2024-12-01,63526.85,High,Medium
PRJ1012,2024-01-01,47571.69,Low,Low
PRJ1012,2024-02-01,120849.29,Medium,Low
PRJ1012,2024-03-01,284053.37,Medium,Low
PRJ1012,2024-04-01,266516.82,Medium,Low
PRJ1012,2024-05-01,233940.41,Medium,Low
PRJ1012,2024-06-01,76604.76,Medium,Low
PRJ1012,2024-07-01,162013.92,Medium,Low
PRJ1012,2024-08-01,236015.93,High,Low
PRJ1012,2024-09-01,190974.36,Low,Low
PRJ1012,2024-10-01,253731.4,High,Low
PRJ1012,2024-11-01,184143.56,Low,Low
PRJ1012,2024-12-01,137801.61,High,Low
PRJ1013,2024-01-01,217933.83,Medium,High
PRJ1013,2024-02-01,145221.12,Medium,High
PRJ1013,2024-03-01,150168.66,Low,High
PRJ1013,2024-04-01,128332.08,High,High
PRJ1013,2024-05-01,151512.99,Low,High
PRJ1013,2024-06-01,131344.27,Medium,High
PRJ1013,2024-07-01,178472.23,Medium,High
PRJ1013,2024-08-01,197595.47,High,High
PRJ1013,2024-09-01,73802.04,Low,High
PRJ1013,2024-10-01,95427.68,Low,High
PRJ1013,2024-11-01,85920.23,Medium,High
PRJ1013,2024-12-01,194056.66,High,High
PRJ1014,2024-01-01,124941.14,Low,Low
PRJ1014,2024-02-01,80821.59,High,Low
PRJ1014,2024-03-01,209599.49,Medium,Low
PRJ1014,2024-04-01,229456.7,Medium,Low
PRJ1014,2024-05-01,255003.81,High,Low
PRJ1014,2024-06-01,61060.79,High,Low
PRJ1014,2024-07-01,171842.11,Medium,Low
PRJ1014,2024-08-01,244007.01,Low,Low
PRJ1014,2024-09-01,152111.29,Low,Low
PRJ1014,2024-10-01,83521.58,Medium,Low
PRJ1014,2024-11-01,64085.08,High,Low
PRJ1014,2024-12-01,226697.58,High,Low
PRJ1015,2024-01-01,144271.63,Medium,High
PRJ1015,2024-02-01,188843.21,Medium,High
PRJ1015,2024-03-01,138230.47,High,High
PRJ1015,2024-04-01,215387.87,High,High
PRJ1015,2024-05-01,80071.57,Medium,High
PRJ1015,2024-06-01,270169.57,Low,High
PRJ1015,2024-07-01,50754.73,High,High
PRJ1015,2024-08-01,281571.37,High,High
PRJ1015,2024-09-01,295437.05,Low,High
PRJ1015,2024-10-01,240261.46,Low,High
PRJ1015,2024-11-01,170457.12,Medium,High
PRJ1015,2024-12-01,139397.11,High,High
PRJ1016,2024-01-01,74574.39,Low,Low
PRJ1016,2024-02-01,159153.04,Low,Low
PRJ1016,2024-03-01,269315.66,Medium,Low
PRJ1016,2024-04-01,111451.14,Medium,Low
PRJ1016,2024-05-01,284608.71,Medium,Low
PRJ1016,2024-06-01,188402.54,Low,Low
PRJ1016,2024-07-01,251946.31,Medium,Low
PRJ1016,2024-08-01,293454.96,Medium,Low
PRJ1016,2024-09-01,243715.48,Low,Low
PRJ1016,2024-10-01,190646.86,Medium,Low
PRJ1016,2024-11-01,136200.23,High,Low
PRJ1016,2024-12-01,121301.87,High,Low
PRJ1017,2024-01-01,199633.67,High,High
PRJ1017,2024-02-01,165973.68,Medium,High
PRJ1017,2024-03-01,103721.86,Low,High
PRJ1017,2024-04-01,187239.96,Medium,High
PRJ1017,2024-05-01,176110.55,Medium,High
PRJ1017,2024-06-01,51906.82,Low,High
PRJ1017,2024-07-01,179726.25,Low,High
PRJ1017,2024-08-01,116951.02,Low,High
PRJ1017,2024-09-01,45389.97,Low,High
PRJ1017,2024-10-01,231572.99,Medium,High
PRJ1017,2024-11-01,63649.31,High,High
PRJ1017,2024-12-01,286184.67,Medium,High
PRJ1018,2024-01-01,278807.72,Medium,Medium
PRJ1018,2024-02-01,203785.58,Medium,Medium
PRJ1018,2024-03-01,185545.34,Medium,Medium
PRJ1018,2024-04-01,242808.89,Low,Medium
PRJ1018,2024-05-01,281872.37,Low,Medium
PRJ1018,2024-06-01,177160.83,High,Medium
PRJ1018,2024-07-01,106330.56,Low,Medium
PRJ1018,2024-08-01,167739.4,Medium,Medium
PRJ1018,2024-09-01,195434.97,High,Medium
PRJ1018,2024-10-01,197626.2,Low,Medium
PRJ1018,2024-11-01,131241.98,Low,Medium
PRJ1018,2024-12-01,98398.05,High,Medium
PRJ1019,2024-01-01,61360.16,Medium,High
PRJ1019,2024-02-01,221428.72,High,High
PRJ1019,2024-03-01,162997.63,Medium,High
PRJ1019,2024-04-01,232648.46,Medium,High
PRJ1019,2024-05-01,102038.75,High,High
PRJ1019,2024-06-01,143043.43,Low,High
PRJ1019,2024-07-01,154366.63,Medium,High
PRJ1019,2024-08-01,49306.97,Medium,High
PRJ1019,2024-09-01,195563.51,High,High
PRJ1019,2024-10-01,182738.2,Medium,High
PRJ1019,2024-11-01,119059.54,Low,High
PRJ1019,2024-12-01,68935.18,High,High
